origem,n,accuracy,f1,precision,recall
FakeBR_PT-BR,152,0.8947368421052632,0.8864149440042496,0.896439785003459,0.8947368421052632
FakeRecogna_PT-BR,787,0.9669631512071156,0.966845614366739,0.966794828736158,0.9669631512071156
